Name of WikiPage, Total Revision of Article, Anonymus Revision of Article, Unieque Editors of Article, Minor editors of Article, Total Revision of Discussion Page, Anonymous Revision of Discussion Page, Unieque Editors of Discussion Page, Minor editors of Revision,Controversial
User:SQL/Blanked,16390,1,15733,9,3,0,3,2,1
Wikipedia:Reference_desk/Language,211486,25458,182307,18864,4,0,4,2,1
Lists_of_deaths_by_year,483,189,282,129,41,0,41,3,1
Wikipedia:Reference_desk/Computing,190534,36481,152512,17909,5,0,5,4,1
Wikipedia:Usernames_for_administrator_attention/Bot,217491,376,212772,170625,2,0,2,1,1
Wikipedia:Open_proxy_detection,187843,15,185949,23,5,1,4,0,1
Wikipedia:Suspected_copyright_violations,71985,177,71089,3180,453,6,447,36,1
2008_Sichuan_earthquake,5534,1580,3835,1604,949,191,758,188,1
Wikipedia:Usernames_for_administrator_attention,381864,2663,367824,146359,3204,26,3178,342,1
File:Rejection.jpg,0,0,0,0,0,0,0,0,0
Involuntary_celibacy,6,0,6,2,1,0,1,0,0
Glossary_of_fan_fiction_terms,0,0,0,0,0,0,0,0,0
List_of_YouTube_celebrities,4,0,4,2,10,1,9,5,0
CamelCase,1,0,1,0,1,0,1,0,0
Mirror_test,1123,368,755,233,244,56,188,30,0
Cow_blowing,66,23,43,23,9,2,7,2,0
List_of_birds_on_stamps_of_Aden_Protectorate_States_Seiyun,0,0,0,0,0,0,0,0,0
Dr._Thunder,3,0,3,1,1,0,1,0,0
Phantom_kangaroo,212,70,142,58,43,5,38,7,0
List_of_things_which_are_neither_production_nor_consumption,0,0,0,0,0,0,0,0,0
Fictional_last_words_in_video_games,0,0,0,0,0,0,0,0,0
Powered_exoskeletons_in_fiction,251,146,105,46,19,3,16,2,0
Kite_Eating_Tree,2,0,2,0,0,0,0,0,0
Death_erection,849,349,500,241,110,24,86,18,0
Handkerchief_code,1125,436,689,370,138,28,110,40,0
Time_flies_like_an_arrow,0,148,33,115,39,30,5,25,0
Mathematical_joke,1497,552,945,309,275,47,228,55,0
Zoophilia_and_health,0,0,0,0,0,0,0,0,0
Strawberry_Shortcake,2097,911,1186,734,113,20,93,34,0
List_of_fictional_bears,1527,757,770,286,57,12,45,12,0
Necrophilia,3290,1485,1805,977,187,51,136,28,0
File:Trinidad_Area_Code_Map.jpg,0,0,0,0,0,0,0,0,0
Judaism_in_Rugrats,85,19,66,26,20,0,20,3,0
Defecation_postures,433,102,331,101,100,7,93,12,0
List_of_Vice_Presidents_of_the_United_States_by_place_of_primary_affiliation,143,25,118,27,8,3,5,2,0
List_of_animals_with_fraudulent_diplomas,606,192,414,162,114,9,105,26,0
Pogs#Military_uses,1,0,1,0,1,0,1,0,0
List_of_Police_Academy_cast_members,161,65,96,25,3,1,2,1,0
2008_NFL_DraftWikipedia:Media_copyright_questions,0,0,0,0,0,0,0,0,0
